context,answer,label
"**Вы:** Спасибо большое)).
Какую музыку слушаешь?

**Собеседник:** русский рэп в основном.
ну там, фейс, элджей знаешь же?
или что ты слушаешь?).

**Вы:** Эм..нет😱.","Ой, ну тогда давай я тебе порекомендую что-нибудь послушать? Я недавно открыл для себя классический рок, например, Queen, Led Zeppelin, Pink Floyd - это просто космос! А еще мне нравится электронная музыка, например, Daft Punk, The Chemical Brothers, Justice. А ты какую музыку любишь? Может, я тоже что-то новое для себя открою? 😊",ai
"**Вы:** Я тоже не замужем. Ищу своего принца. А пока толькоу меня замечательный пёсик.
А у вас есть питомцы?

**Собеседник:** У меня дома живут только рыбки в аквариуме, единственныесущества, которых я люблю.

**Вы:** Рыбки тихие и не причинят дискомфорт. Мой пёсик погрызвсе фиалки, а их так долго выращивала.","Может быть и тихие, но совсем не мирные, могут и подраться и слопать друг друга.",people
"**Вы:** Ивановская область.

**Собеседник:** Понял.
А я в Москве.

**Вы:** Не люблю шум больших городов.",В деревне у меня на даче.,ai
"**Вы:** Особенно чинить их.

**Собеседник:** И тоже люблю стиралки.

**Вы:** Карих слишком много. Зеленые круто.
Стиралки кайф.","В доме - полный порядок, все на своем месте.",ai
"**Вы:** В свободное время.

**Собеседник:** Чем ты увлекаешься?

**Вы:** Ты фотграф.
?
Люблю путешествовать?","Да, я фотографирую, это моя страсть и хобби.",ai
"**Вы:** А у тебя есть работа?
Круто) Интересно как).

**Собеседник:** Как тебе твоя работа?
Любишь свою работу?

**Вы:** Очень нравиться) Особенно люблю готовить мясо).
А тебе твоя?","В смысле ты повар что-ли? Я тоже, если что",people
"**Вы:** У меня есть сын.

**Собеседник:** У меня двое детей.

**Вы:** Я люблю песни Круга.","А есть ещё какие не будь исполнители шансона, которые нравятся?",people
"**Вы:** А после сразу на шоппинг 😅 не поверишь но я его люблю) В таком то окружении другого выхода как полюбитьне было 😄.

**Собеседник:** Вот это да, это хорошо что учишь, в жизни всегда пригодиться.

**Вы:** Ну да, профессия у тебя классная) жизни спасать))).",Люблю приносить пользу.,people
"**Вы:** Как бы тебе сказать ... я спортсмен 😂 поэтому с чтениему меня ... ну не очень.

**Собеседник:** Мм когда спортом занимаешься, слушаешь музыку?

**Вы:** Вообще, мне намного интереснее с людьми общаться,чем в книжки пялиться.
Да. Ты какую любишь?",Панк рок. А ты?,people
"**Вы:** расскажи о себе.

**Собеседник:** Меня Олька зовут! А тебя?

**Вы:** меня саша.",Чем занимались сегодня?,people
"**Вы:** Привет!!! Пообщаемся???

**Собеседник:** Привет.
Давай.

**Вы:** Чем занимаешься??? Я танцор професиональный.","Круто, я тоже люблю танцевать, но только для души.",ai
"**Вы:** А у тебя?).

**Собеседник:** А у меня есть кошка).

**Вы:** Кормишь её рыбками?","Конечно, рыбки - это её любимая еда! А как у тебя дела с домашними питомцами?",ai
"**Вы:** Какой твой девиз по жизни?
У меня : всегда веселись!!

**Собеседник:** Мечтай и мечты исполняется.
Классный девиз.

**Вы:** Спасибо, у тебя тоже.",Люблю позитивных людей! Чем занимаешься в свободное время?,people
"**Вы:** Ну ладно, у тебя ещё все впереди.

**Собеседник:** Только не в маке. Не люблю фаст- фуд и все, что сним связано.

**Вы:** И правильно.",Лучше самому что нибудь приготовить. Даже вкуснее будет. ,people
"**Вы:** я с Украины.

**Собеседник:** Я студент,мне 22 г.

**Вы:** чем занимаешься?
а мне 35, работаю в больнице.
у тебя есть увлечения?","Круто! Я учусь в консерве, с музыкантами зависаем, открываем для себя новые горизонты в музыке! В больнице по профессии или по призванию работаешь?",people
"**Вы:** Ты знаешь заграницей очень развит алкоголизм,.
особенно турестический.
а я не люблю алкоголь.

**Собеседник:** Из-за этого вы не путешествовали раньше?

**Вы:** Нет просто Бразилия религиозная страна, и я отдаюпредпочтения только этим странам.","Понятно, что религиозные страны вам ближе. А какие еще страны вам нравятся?",ai
"**Вы:** а почему бы и нет).
я вот спортом люблю не только заниматься но и смотреть.
так я стал фанатом бокса).
расскажи еще что нибудь о себе.

**Собеседник:** Оо, мой муж тоже любит бокс)).
У меня есть небольшой секрет...
Я обожаю мандарины!

**Вы:** прикольно.
фрукты надо щас кушать.","Ага, я тоже так думаю! Может, у тебя есть какой-то фаворит?",ai
"**Вы:** Ну что Вы... Семья - это святое!
Я очень рад за Вас!
Да люблю танцевать.
С детства.

**Собеседник:** Это да. я очень люблю и мужа, и детей, но как же былобы классно быть полноценным доктором )).
а какие у вас еще увлечения?

**Вы:** Вообще люблю Японию.","О, как интересно, я бы тоже хотела посетить Японию, а вы уже были там? Расскажите что-нибудь об этой стране!",people
"**Вы:** Это почему?Везде есть чем заняться).
Я как преподаватель могу сказать, что лучшее занятие- это саморазвитие).

**Собеседник:** А ты любишь домашних животных? Ну у меня школа и многодополнительных занятий. Хочу стать врачем, лечитьживотных.

**Вы:** Да, я кошек люблю. А ветеринар- это хорошая и кстатидовольно высокооплачиваемая профессия).",А вы кем работаете?,people
"**Вы:** Алеся.
А тебя?

**Собеседник:** Меня Максим.
Чем ты занимаешься ?

**Вы:** Очень приятно.
Сижу в автосервисе.
Жду когда починят машину.
А ты?","Работаю, а что случилось?",people
"**Вы:** Какая у тебя зарплата?

**Собеседник:** Точно сказать не могу. всегда по разному. а хоббиесть у тебя?

**Вы:** Да, занимаюсь футболом, играю в футбольном клубеТорпедо из города Минска. А у тебя?",А занимаюсь парашютным спортом. учавствую в групповых прыжках,people
"**Вы:** Поздравляю, это здорово. Мой сын уже взрослый, вотсобираю ему обед на учёбу).

**Собеседник:** как у тебя с семьей?

**Вы:** Дети быстро растут).","Я помню, как у меня было тяжело в его возрасте.",ai
